train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates
,,,500.0,16.00500329,2428,511000,210,1020,,,
-5.8486328125,0.00075,0.0016137148486450315,500.0,17.374587160000004,2461,518000,210,1030,0.01579015515744686,0.2825474739074707,36764
-6.175859451293945,0.00075,0.0018032763618975878,500.0,17.212266500000002,2496,525000,210,1040,0.029884327203035355,1.7765718698501587,37264
,,,500.0,17.212266500000002,2496,525000,210,1050,,,
-5.99706506729126,0.00075,0.0020851639565080404,500.0,17.462439009999997,2530,532000,210,1060,0.045070305466651917,2.076784610748291,37764
-6.173705101013184,0.00075,0.0020021877717226744,500.0,19.6715554,2564,539000,210,1070,0.02299295924603939,3.338646411895752,38264
-5.930845737457275,0.00075,0.002047371817752719,500.0,19.871487780000006,2598,546000,210,1080,0.065273717045784,8.779930114746094,38764
,,,500.0,19.871487780000006,2598,546000,210,1090,,,
-6.0344085693359375,0.00075,0.001985554350540042,500.0,24.91868459,2632,553000,210,1100,0.03705170005559921,8.099454879760742,39264
-6.01325798034668,0.00075,0.001918089110404253,500.0,28.33191893,2667,560000,209,1110,0.09626131504774094,-6.556552410125732,39764
,,,500.0,28.33191893,2667,560000,209,1120,,,
-5.957301139831543,0.00075,0.0021729886066168547,500.0,28.39378156,2701,567000,209,1130,0.02353839948773384,-6.145753860473633,40264
-5.882070064544678,0.00075,0.002191205509006977,500.0,30.366232069999995,2735,574000,209,1140,0.026903145015239716,-4.087698936462402,40764
-5.974667549133301,0.00075,0.0020867413841187954,500.0,30.925645239999998,2769,581000,209,1150,0.03331705555319786,3.874817132949829,41264
,,,500.0,30.925645239999998,2769,581000,209,1160,,,
-5.85207462310791,0.00075,0.002170567400753498,500.0,33.50458255,2803,588000,209,1170,0.0833841860294342,8.740930557250977,41764
-5.714731216430664,0.00075,0.0024684693198651075,500.0,37.810094670000005,2837,595000,209,1180,0.04066789150238037,-2.042459487915039,42264
,,,500.0,37.810094670000005,2837,595000,209,1190,,,
-6.522153854370117,0.00075,0.0023251581005752087,500.0,40.724848519999995,2871,602000,209,1200,0.048896148800849915,-5.639835834503174,42764
-6.328590393066406,0.00075,0.002741522155702114,500.0,39.13838125,2905,609000,209,1210,0.08716709911823273,0.5249779224395752,43264
-6.080552101135254,0.00075,0.00278538023121655,500.0,43.81278622,2939,616000,209,1220,0.14557954668998718,-3.3679137229919434,43764
,,,500.0,43.81278622,2939,616000,209,1230,,,
-6.1815690994262695,0.00075,0.0026828821282833815,500.0,45.62009883,2973,623000,209,1240,0.30824869871139526,1.1741794347763062,44264
-5.92805290222168,0.00075,0.0025239556562155485,500.0,48.516604820000005,3007,630000,209,1250,0.65549236536026,-3.3635034561157227,44764
,,,500.0,48.516604820000005,3007,630000,209,1260,,,
-6.64772891998291,0.00075,0.0031219972297549248,500.0,45.82474463000001,3041,637000,209,1270,0.09850594401359558,4.017429351806641,45264
