time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss
884,1866,0.00075,44169,500.0,-23.50113296508789,238,0.010865486226975918,2.782569646835327,170.67,445000,-5.746312141418457
888,1866,,,500.0,,238,,,170.67,445000,
892,1887,0.00075,44669,500.0,-26.630168914794922,238,0.011032047681510448,1.021740436553955,181.81,450000,-4.825878143310547
896,1887,,,500.0,,238,,,181.81,450000,
900,1887,,,500.0,,238,,,181.81,450000,
904,1908,0.00075,45169,500.0,-25.9207820892334,238,0.010158856399357319,1.136729121208191,182.26,455000,-5.016324996948242
908,1908,,,500.0,,238,,,182.26,455000,
912,1929,0.00075,45669,500.0,-28.579578399658203,238,0.009641184471547604,1.3686716556549072,191.58,460000,0.9326417446136475
916,1929,,,500.0,,238,,,191.58,460000,
920,1929,,,500.0,,238,,,191.58,460000,
924,1950,0.00075,46169,500.0,-29.98312759399414,238,0.010700996965169907,2.0812418460845947,201.11,465000,3.005476236343384
928,1950,,,500.0,,238,,,201.11,465000,
932,1970,0.00075,46669,500.0,-28.581388473510742,238,0.010204474441707134,0.41218358278274536,203.03,470000,-2.8198795318603516
936,1970,,,500.0,,238,,,203.03,470000,
940,1970,,,500.0,,238,,,203.03,470000,
944,1992,0.00075,47169,500.0,-29.178325653076172,238,0.009829221293330193,0.6987601518630981,191.04,475000,4.523388862609863
948,1992,,,500.0,,238,,,191.04,475000,
952,2013,0.00075,47669,500.0,-28.031658172607422,238,0.01031904760748148,1.0094518661499023,189.36,480000,-5.41657829284668
956,2013,,,500.0,,238,,,189.36,480000,
960,2013,,,500.0,,238,,,189.36,480000,
964,2035,0.00075,48169,500.0,-32.427467346191406,238,0.00947866402566433,0.8032698035240173,202.15,485000,1.1841301918029785
968,2035,,,500.0,,238,,,202.15,485000,
972,2056,0.00075,48669,500.0,-32.066162109375,238,0.010450158268213272,0.5709034204483032,208.37,490000,0.4086877703666687
976,2056,,,500.0,,238,,,208.37,490000,
980,2056,,,500.0,,238,,,208.37,490000,
984,2076,0.00075,49169,500.0,-31.551124572753906,238,0.011013677343726158,24.541013717651367,213.76,495000,-4.472112655639648
988,2076,,,500.0,,238,,,213.76,495000,
992,2097,0.00075,49669,500.0,-29.448593139648438,238,0.010186695493757725,1.264073371887207,198.73,500000,-1.5379118919372559
996,2097,,,500.0,,238,,,198.73,500000,
1000,2097,,,500.0,,238,,,198.73,500000,
1004,2118,0.00075,50169,500.0,-29.37568473815918,238,0.010533366352319717,2.700974464416504,203.37,505000,-2.482771873474121
1008,2118,,,500.0,,238,,,203.37,505000,
1012,2140,0.00075,50669,500.0,-35.62919998168945,238,0.011267243884503841,1.0578901767730713,191.48,510000,-1.443251371383667
1016,2140,,,500.0,,238,,,191.48,510000,
1020,2140,,,500.0,,238,,,191.48,510000,
1024,2160,0.00075,51169,500.0,-33.53639221191406,238,0.011180638335645199,44.001060485839844,176.03,515000,-0.8836134672164917
1028,2160,,,500.0,,238,,,176.03,515000,
1032,2182,0.00075,51669,500.0,-30.825695037841797,238,0.011156625114381313,0.7699329257011414,175.0,520000,1.4294730424880981
1036,2182,,,500.0,,238,,,175.0,520000,
1040,2182,,,500.0,,238,,,175.0,520000,
1044,2203,0.00075,52169,500.0,-33.98233413696289,238,0.012525017373263836,1.2291090488433838,185.25,525000,0.824066162109375
1048,2203,,,500.0,,238,,,185.25,525000,
1052,2225,0.00075,52669,500.0,-37.46508026123047,238,0.01130907703191042,0.6697176694869995,175.65,530000,-1.756365180015564
1056,2225,,,500.0,,238,,,175.65,530000,
1060,2225,,,500.0,,238,,,175.65,530000,
1064,2246,0.00075,53169,500.0,-35.001441955566406,238,0.012373076751828194,2.8392038345336914,168.76,535000,-3.1701695919036865
1068,2246,,,500.0,,238,,,168.76,535000,
1072,2268,0.00075,53669,500.0,-34.24896240234375,238,0.012986327521502972,3.2177772521972656,163.92,540000,1.3577451705932617
1076,2268,,,500.0,,238,,,163.92,540000,
1080,2268,,,500.0,,238,,,163.92,540000,
1084,2289,0.00075,54169,500.0,-35.599857330322266,238,0.013383449986577034,1.622525930404663,160.65,545000,-0.6958765387535095
1088,2289,,,500.0,,238,,,160.65,545000,
1092,2310,0.00075,54669,500.0,-36.322059631347656,238,0.01294378750026226,1.2259864807128906,174.41,550000,3.085318088531494
1096,2310,,,500.0,,238,,,174.41,550000,
1100,2310,,,500.0,,238,,,174.41,550000,
1104,2331,0.00075,55169,500.0,-35.062721252441406,238,0.015329661779105663,2.5235328674316406,169.66,555000,6.640082359313965
1108,2331,,,500.0,,238,,,169.66,555000,
1112,2352,0.00075,55669,500.0,-33.96638488769531,238,0.014257930219173431,3.0766491889953613,167.79,560000,1.7234724760055542
1116,2352,,,500.0,,238,,,167.79,560000,
1120,2352,,,500.0,,238,,,167.79,560000,
1124,2372,0.00075,56169,500.0,-39.29945755004883,238,0.014887137338519096,4.765740871429443,165.69,565000,-3.3540749549865723
1128,2372,,,500.0,,238,,,165.69,565000,
1132,2394,0.00075,56669,500.0,-31.771657943725586,238,0.015593545511364937,2.3275177478790283,167.12,570000,-2.7321295738220215
1136,2394,,,500.0,,238,,,167.12,570000,
1140,2394,,,500.0,,238,,,167.12,570000,
1144,2416,0.00075,57169,500.0,-36.9357795715332,237,0.014424093067646027,123.72117614746094,181.35,575000,2.5608432292938232
1148,2416,,,500.0,,237,,,181.35,575000,
1152,2437,0.00075,57669,500.0,-35.961265563964844,237,0.014032893814146519,2.4721031188964844,192.38,580000,-3.344700574874878
1156,2437,,,500.0,,237,,,192.38,580000,
1160,2437,,,500.0,,237,,,192.38,580000,
1164,2458,0.00075,58169,500.0,-39.219085693359375,237,0.01543912012130022,1.693532109260559,188.19,585000,-1.5786411762237549
1168,2458,,,500.0,,237,,,188.19,585000,
1172,2480,0.00075,58669,500.0,-35.70005798339844,237,0.015355546027421951,1.1041209697723389,183.9,590000,-6.848298072814941
1176,2480,,,500.0,,237,,,183.9,590000,
1180,2480,,,500.0,,237,,,183.9,590000,
1184,2501,0.00075,59169,500.0,-38.997589111328125,237,0.014920211397111416,1.3799781799316406,182.59,595000,-1.466392993927002
1188,2501,,,500.0,,237,,,182.59,595000,
1192,2522,0.00075,59669,500.0,-36.160484313964844,237,0.014666610397398472,63.835540771484375,181.94,600000,0.8920701742172241
1196,2522,,,500.0,,237,,,181.94,600000,
1200,2522,,,500.0,,237,,,181.94,600000,
1204,2545,0.00075,60169,500.0,-40.56083297729492,237,0.015521164983510971,1.3497745990753174,173.56,605000,8.635283470153809
1208,2545,,,500.0,,237,,,173.56,605000,
1212,2566,0.00075,60669,500.0,-37.50446319580078,237,0.016535339877009392,1.1406136751174927,160.56,610000,2.8830819129943848
1216,2566,,,500.0,,237,,,160.56,610000,
1220,2566,,,500.0,,237,,,160.56,610000,
1224,2588,0.00075,61169,500.0,-45.39990997314453,237,0.015990860760211945,6.931529998779297,168.46,615000,-2.8865365982055664
1228,2588,,,500.0,,237,,,168.46,615000,
1232,2610,0.00075,61669,500.0,-41.48389434814453,237,0.015927288681268692,3.0693955421447754,170.72,620000,-4.45689582824707
1236,2610,,,500.0,,237,,,170.72,620000,
1240,2610,,,500.0,,237,,,170.72,620000,
1244,2631,0.00075,62169,500.0,-44.73927307128906,237,0.01675405167043209,1.3508800268173218,171.08,625000,-7.6427483558654785
1248,2631,,,500.0,,237,,,171.08,625000,
1252,2652,0.00075,62669,500.0,-39.845314025878906,237,0.015129465609788895,0.9723345041275024,185.15,630000,2.7252769470214844
1256,2652,,,500.0,,237,,,185.15,630000,
1260,2652,,,500.0,,237,,,185.15,630000,
1264,2674,0.00075,63169,500.0,-46.7744140625,237,0.015792185440659523,2.7097959518432617,182.55,635000,-4.055112361907959
1268,2674,,,500.0,,237,,,182.55,635000,
1272,2695,0.00075,63669,500.0,-43.27306365966797,237,0.01696036569774151,6.186298370361328,180.11,640000,2.9418606758117676
1276,2695,,,500.0,,237,,,180.11,640000,
1280,2695,,,500.0,,237,,,180.11,640000,
1284,2716,0.00075,64169,500.0,-44.14372253417969,237,0.015161979012191296,1.271409034729004,193.57,645000,-3.0351405143737793
1288,2716,,,500.0,,237,,,193.57,645000,
1292,2738,0.00075,64669,500.0,-47.14992141723633,237,0.017597397789359093,3.39700984954834,188.22,650000,3.7591099739074707
1296,2738,,,500.0,,237,,,188.22,650000,
1300,2738,,,500.0,,237,,,188.22,650000,
1304,2759,0.00075,65169,500.0,-53.736412048339844,237,0.01807003654539585,2.496314525604248,186.44,655000,5.848108768463135
1308,2759,,,500.0,,237,,,186.44,655000,
1312,2782,0.00075,65669,500.0,-49.517234802246094,237,0.016360748559236526,1.2318050861358643,199.5,660000,0.3162689208984375
1316,2782,,,500.0,,237,,,199.5,660000,
1320,2782,,,500.0,,237,,,199.5,660000,
1324,2803,0.00075,66169,500.0,-50.88515853881836,237,0.01633276417851448,2.4397106170654297,203.01,665000,-8.154498100280762
1328,2803,,,500.0,,237,,,203.01,665000,
1332,2825,0.00075,66669,500.0,-47.16780471801758,237,0.017598599195480347,20.83646011352539,207.93,670000,-2.6046736240386963
1336,2825,,,500.0,,237,,,207.93,670000,
1340,2825,,,500.0,,237,,,207.93,670000,
