train/ent_coef,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed
0.006501324009150267,-10.450812339782715,735000,1460,52264,222,0.00075,500.0,1.0864259004592896,153.38164985,-4.6124677658081055,3308
,,735000,1470,,222,,500.0,,153.38164985,,3308
0.00650480343028903,-9.782089233398438,742000,1480,52764,222,0.00075,500.0,0.4732455015182495,168.01014601000003,0.6667779684066772,3339
0.007465140428394079,-11.736574172973633,749000,1490,53264,222,0.00075,500.0,1.9133492708206177,177.13598726,-5.6335062980651855,3372
0.0068248361349105835,-15.861603736877441,756000,1500,53764,222,0.00075,500.0,1.8370401859283447,187.59589301,-0.7096225023269653,3404
,,756000,1510,,222,,500.0,,187.59589301,,3404
0.006402688566595316,-11.82994270324707,763000,1520,54264,222,0.00075,500.0,2.069401264190674,213.03653523999998,-1.3045169115066528,3436
0.007814392447471619,-14.990565299987793,770000,1530,54764,222,0.00075,500.0,1.7964454889297485,230.18181094,-2.025242805480957,3467
,,770000,1540,,222,,500.0,,230.18181094,,3467
0.008310718461871147,-17.306562423706055,777000,1550,55264,222,0.00075,500.0,0.4664428234100342,241.82245929,-0.7134042978286743,3498
0.008129244670271873,-14.999955177307129,784000,1560,55764,222,0.00075,500.0,1.2763564586639404,238.15209182999996,0.700506329536438,3530
0.008463538251817226,-16.29266357421875,791000,1570,56264,222,0.00075,500.0,1.8415921926498413,253.5813896,-2.7575364112854004,3561
,,791000,1580,,222,,500.0,,253.5813896,,3561
0.008136825636029243,-24.770505905151367,798000,1590,56764,222,0.00075,500.0,1.3527202606201172,262.02212049999997,4.712989807128906,3593
0.009392083622515202,-23.224140167236328,805000,1600,57264,222,0.00075,500.0,5.299386978149414,244.12229646999995,-0.45512259006500244,3624
,,805000,1610,,222,,500.0,,244.12229646999995,,3624
0.008254332467913628,-19.884307861328125,812000,1620,57764,222,0.00075,500.0,1.9758672714233398,251.74444745,-1.053934097290039,3656
0.00918449554592371,-23.014938354492188,819000,1630,58264,222,0.00075,500.0,2.61558198928833,251.70770140000002,4.828394889831543,3687
0.008584109134972095,-23.985366821289062,826000,1640,58764,222,0.00075,500.0,0.6428079009056091,257.89838459000003,-4.060001850128174,3719
,,826000,1650,,222,,500.0,,257.89838459000003,,3719
0.009703846648335457,-27.66481590270996,833000,1660,59264,222,0.00075,500.0,1.0172724723815918,269.10250285,2.5974626541137695,3751
0.010043380782008171,-27.05377960205078,840000,1670,59764,222,0.00075,500.0,1.3133474588394165,254.70345733,-0.2963717579841614,3783
,,840000,1680,,222,,500.0,,254.70345733,,3783
