train/learning_rate,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
0.00075,210,500.0,50764,47.41766461999999,-2.196384906768799,0.002734940266236663,-6.924068450927734,3398,0.6916843056678772,714000,1420
0.00075,210,500.0,51264,56.613591449999994,-4.346012115478516,0.002585604088380933,-7.100486755371094,3430,0.04692701995372772,721000,1430
,210,500.0,,56.613591449999994,,,,3430,,721000,1440
0.00075,210,500.0,51764,56.918674110000005,2.329331398010254,0.002459958428516984,-8.063009262084961,3462,0.08186890184879303,728000,1450
0.00075,210,500.0,52264,54.44730811,10.515829086303711,0.0024396153166890144,-7.619239807128906,3495,0.08168722689151764,735000,1460
,210,500.0,,54.44730811,,,,3495,,735000,1470
0.00075,210,500.0,52764,75.19087123999999,5.770382404327393,0.0025006914511322975,-7.690682411193848,3528,0.07915942370891571,742000,1480
0.00075,210,500.0,53264,72.83221241999999,5.9448113441467285,0.002809233730658889,-7.848021507263184,3560,0.03982541710138321,749000,1490
0.00075,210,500.0,53764,68.08448757,-0.4149908423423767,0.0026285191997885704,-8.400703430175781,3591,0.10177254676818848,756000,1500
,210,500.0,,68.08448757,,,,3591,,756000,1510
0.00075,210,500.0,54264,57.92991274999999,-3.5944764614105225,0.0027577816508710384,-7.519827842712402,3622,0.020172523334622383,763000,1520
0.00075,210,500.0,54764,48.94449463000001,0.3898369073867798,0.0026323357596993446,-8.102563858032227,3653,0.04291820526123047,770000,1530
,210,500.0,,48.94449463000001,,,,3653,,770000,1540
0.00075,210,500.0,55264,38.67441913,-5.725534439086914,0.002531886100769043,-8.539190292358398,3684,0.07284726202487946,777000,1550
0.00075,210,500.0,55764,36.449099960000005,1.8200900554656982,0.0026405828539282084,-8.212629318237305,3717,0.024997234344482422,784000,1560
0.00075,211,500.0,56264,21.315694859999997,3.313960552215576,0.0030126722995191813,-9.474896430969238,3748,0.04808076098561287,791000,1570
,211,500.0,,21.315694859999997,,,,3748,,791000,1580
0.00075,211,500.0,56764,18.89585288,-0.044867634773254395,0.002972526242956519,-9.428348541259766,3780,0.11507414281368256,798000,1590
0.00075,211,500.0,57264,26.25692579,2.257296323776245,0.002903497079387307,-8.76319408416748,3811,0.07452034950256348,805000,1600
,211,500.0,,26.25692579,,,,3811,,805000,1610
0.00075,211,500.0,57764,45.43783225,-3.178133487701416,0.0030349460430443287,-8.653303146362305,3842,0.08516451716423035,812000,1620
0.00075,211,500.0,58264,57.891006559999994,2.3295493125915527,0.0032477816566824913,-7.762712478637695,3874,0.04270714521408081,819000,1630
0.00075,211,500.0,58764,77.06767933,-0.4416344165802002,0.003246191656216979,-8.338319778442383,3907,0.04559813067317009,826000,1640
,211,500.0,,77.06767933,,,,3907,,826000,1650
0.00075,211,500.0,59264,98.43564513999999,-6.732338905334473,0.0033696885220706463,-8.212769508361816,3939,0.1515505462884903,833000,1660
0.00075,211,500.0,59764,109.00544709,-4.6186299324035645,0.0032589654438197613,-8.464553833007812,3971,0.9755184650421143,840000,1670
,211,500.0,,109.00544709,,,,3971,,840000,1680
