time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate
2844,1220,36.66060702,-3.7091991901397705,216,43764,616000,500.0,0.06873577833175659,0.0014585276367142797,-5.232753753662109,0.00075
2844,1230,36.66060702,,216,,616000,500.0,,,,
2877,1240,39.53025121,-1.514028787612915,216,44264,623000,500.0,0.016482463106513023,0.0013887769309803843,-5.211269378662109,0.00075
2910,1250,41.28420679,1.329396367073059,216,44764,630000,500.0,0.14954596757888794,0.0014740346232429147,-5.133601665496826,0.00075
2910,1260,41.28420679,,216,,630000,500.0,,,,
2943,1270,41.14836582,8.118677139282227,216,45264,637000,500.0,0.13848593831062317,0.0015206276439130306,-5.166313171386719,0.00075
2977,1280,40.54348198,2.239032506942749,216,45764,644000,500.0,0.2931811809539795,0.0016859122551977634,-5.65360164642334,0.00075
3010,1290,41.678465030000005,6.518715858459473,216,46264,651000,500.0,0.08270053565502167,0.0017050202004611492,-4.782532691955566,0.00075
3010,1300,41.678465030000005,,216,,651000,500.0,,,,
3042,1310,41.22387839,-9.1561279296875,216,46764,658000,500.0,0.06259973347187042,0.0018476955592632294,-5.009719371795654,0.00075
3076,1320,34.933406149999996,8.156132698059082,216,47264,665000,500.0,0.1408577859401703,0.0020422509405761957,-6.08138370513916,0.00075
3076,1330,34.933406149999996,,216,,665000,500.0,,,,
3109,1340,34.683928380000005,-7.777571678161621,216,47764,672000,500.0,0.11819370836019516,0.0020699130836874247,-5.360468864440918,0.00075
3142,1350,39.94443692,0.7078471183776855,216,48264,679000,500.0,0.078561931848526,0.0020840207580477,-5.378108978271484,0.00075
3175,1360,43.16500129,-6.921196937561035,216,48764,686000,500.0,0.23443081974983215,0.002363144885748625,-4.979663848876953,0.00075
3175,1370,43.16500129,,216,,686000,500.0,,,,
3209,1380,50.41571005000001,-3.973334550857544,215,49264,693000,500.0,0.1346023827791214,0.002313785022124648,-5.954408645629883,0.00075
3243,1390,50.445992430000004,2.9225425720214844,215,49764,700000,500.0,0.05272505804896355,0.0023861753288656473,-5.641875743865967,0.00075
3243,1400,50.445992430000004,,215,,700000,500.0,,,,
3277,1410,68.63841856,-0.052886009216308594,215,50264,707000,500.0,0.046156320720911026,0.0024659892078489065,-6.345795631408691,0.00075
