train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/fps,time/total_timesteps,train/actor_loss,time/episodes
56764,500.0,0.018992893397808075,0.0,0.00075,3750,-3.000532627105713,0.0008299676701426506,212,798000,-2.9393625259399414,1590
57264,500.0,1.5194867849349976,0.0,0.00075,3782,2.2040815353393555,0.0008506064186803997,212,805000,-3.3473806381225586,1600
,500.0,,0.0,,3782,,,212,805000,,1610
57764,500.0,0.14908245205879211,0.0,0.00075,3814,-0.4532143771648407,0.0008668340742588043,212,812000,-3.5146985054016113,1620
58264,500.0,0.3536929190158844,0.0,0.00075,3846,0.20762038230895996,0.0008641717140562832,212,819000,-3.0842819213867188,1630
58764,500.0,0.008410203270614147,0.0,0.00075,3878,-5.709277629852295,0.0008224064949899912,212,826000,-3.1639609336853027,1640
,500.0,,0.0,,3879,,,212,826000,,1650
59264,500.0,0.01538795605301857,1.01,0.00075,3912,-1.7353858947753906,0.000925504311453551,212,833000,-3.067180633544922,1660
59764,500.0,0.04730933904647827,4.09,0.00075,3945,0.9343726634979248,0.0009339064126834273,212,840000,-3.198378086090088,1670
,500.0,,4.09,,3945,,,212,840000,,1680
60264,500.0,0.007540903519839048,4.09,0.00075,3978,-5.706480026245117,0.0009840233251452446,212,847000,-3.1335067749023438,1690
60764,500.0,0.012161344289779663,4.09,0.00075,4009,-2.404768466949463,0.0010160068050026894,212,854000,-3.417327880859375,1700
61264,500.0,0.01618874818086624,4.09,0.00075,4041,0.6973890662193298,0.0010488992556929588,213,861000,-3.7165894508361816,1710
,500.0,,4.09,,4041,,,213,861000,,1720
61764,500.0,0.015390446409583092,4.09,0.00075,4072,0.1480347365140915,0.001068584737367928,213,868000,-3.370443820953369,1730
62264,500.0,0.014022614806890488,4.09,0.00075,4105,-0.6162495613098145,0.0010856889421120286,213,875000,-3.6039111614227295,1740
,500.0,,4.09,,4105,,,213,875000,,1750
62764,500.0,0.030046848580241203,3.08,0.00075,4136,6.613840103149414,0.0010640411637723446,213,882000,-3.6990647315979004,1760
63264,500.0,0.016167934983968735,0.0,0.00075,4169,-1.2248632907867432,0.001055699773132801,213,889000,-3.229206085205078,1770
63764,500.0,0.013152441941201687,0.0,0.00075,4202,-2.3731040954589844,0.0011423848336562514,213,896000,-3.340407371520996,1780
,500.0,,0.0,,4202,,,213,896000,,1790
64264,500.0,0.009955031797289848,0.0,0.00075,4237,-0.8915579319000244,0.0010902817593887448,213,903000,-3.4695096015930176,1800
64764,500.0,0.01200486533343792,0.0,0.00075,4271,8.049200057983398,0.001039469032548368,213,910000,-3.4939956665039062,1810
,500.0,,0.0,,4271,,,213,910000,,1820
65264,500.0,0.019633572548627853,0.0,0.00075,4305,-4.331573486328125,0.0010772580280900002,212,917000,-3.0109009742736816,1830
65764,500.0,0.022473588585853577,0.61,0.00075,4339,0.8677748441696167,0.0011975710513070226,212,924000,-3.4716243743896484,1840
66264,500.0,0.008446200750768185,0.61,0.00075,4373,-6.582740783691406,0.0010745845502242446,212,931000,-3.29170560836792,1850
,500.0,,0.61,,4373,,,212,931000,,1860
66764,500.0,0.0209537111222744,0.61,0.00075,4407,6.284081935882568,0.0011088419705629349,212,938000,-3.676629066467285,1870
67264,500.0,0.029188204556703568,0.61,0.00075,4441,-5.691385746002197,0.0011030647438019514,212,945000,-3.4533610343933105,1880
,500.0,,0.61,,4441,,,212,945000,,1890
67764,500.0,0.023877255618572235,0.61,0.00075,4474,4.610093116760254,0.0011320137418806553,212,952000,-3.747176170349121,1900
68264,500.0,0.02063792198896408,0.61,0.00075,4508,1.020223617553711,0.0010823678458109498,212,959000,-3.6644949913024902,1910
68764,500.0,0.007423435337841511,0.61,0.00075,4542,-6.817276477813721,0.0011269919341430068,212,966000,-3.480044364929199,1920
,500.0,,0.61,,4542,,,212,966000,,1930
69264,500.0,0.011453190818428993,0.0,0.00075,4575,3.9298768043518066,0.001152040553279221,212,973000,-3.3346734046936035,1940
69764,500.0,0.006475958041846752,0.0,0.00075,4609,0.9082409143447876,0.00123452243860811,212,980000,-3.6125011444091797,1950
,500.0,,0.0,,4609,,,212,980000,,1960
70264,500.0,0.009200350381433964,0.0,0.00075,4645,-8.763738632202148,0.0012827187310904264,212,987000,-3.379136323928833,1970
70764,500.0,0.016996435821056366,0.0,0.00075,4678,-0.2924690246582031,0.001058720052242279,212,994000,-3.7036304473876953,1980
