train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/learning_rate,time/fps,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_len_mean
-10.864538192749023,122.84407681,0.0037557852920144796,1.2368823289871216,0.00075,216,-4.202652931213379,4331,66764,1870,938000,500.0
-10.521507263183594,151.53997799,0.00436315918341279,0.5334329605102539,0.00075,216,0.9168578386306763,4365,67264,1880,945000,500.0
,151.53997799,,,,216,,4365,,1890,945000,500.0
-9.829835891723633,140.6819362,0.004426194354891777,2.352290630340576,0.00075,216,-3.29953932762146,4397,67764,1900,952000,500.0
-11.985771179199219,141.74369107,0.004420813638716936,1.7002229690551758,0.00075,216,1.2858672142028809,4430,68264,1910,959000,500.0
-10.908775329589844,148.82134795,0.004441806115210056,0.6013576984405518,0.00075,216,-2.895749807357788,4463,68764,1920,966000,500.0
,148.82134795,,,,216,,4463,,1930,966000,500.0
-11.846780776977539,163.74003649999997,0.005029751919209957,0.42000812292099,0.00075,216,-1.8423020839691162,4495,69264,1940,973000,500.0
-14.384002685546875,169.34269688,0.005260759498924017,0.3969120979309082,0.00075,216,0.9752057790756226,4527,69764,1950,980000,500.0
,169.34269688,,,,216,,4527,,1960,980000,500.0
-11.066391944885254,190.54281634999998,0.005475151818245649,0.9648236632347107,0.00075,216,-6.279604911804199,4559,70264,1970,987000,500.0
-16.976640701293945,183.43978614,0.005587057210505009,0.7136926651000977,0.00075,216,8.255416870117188,4591,70764,1980,994000,500.0
