train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes,time/fps
,500.0,,,0.0,,,4275,,931000,1860,217
40.63713073730469,500.0,66764,0.00075,0.0,0.0002320101048098877,-1.3653936386108398,4309,0.0012849012855440378,938000,1870,217
-12.444372177124023,500.0,67264,0.00075,0.0,0.00022605752747040242,-1.3329238891601562,4342,0.00043168870615772903,945000,1880,217
,500.0,,,0.0,,,4342,,945000,1890,217
-2.004380941390991,500.0,67764,0.00075,0.0,0.00022879183234181255,-1.3659074306488037,4375,0.0005726658273488283,952000,1900,217
-5.917152404785156,500.0,68264,0.00075,0.0,0.00023351535492110997,-1.3803850412368774,4408,0.0006297181826084852,959000,1910,217
1.6562321186065674,500.0,68764,0.00075,0.0,0.00024840826517902315,-1.3060405254364014,4441,0.0006095695425756276,966000,1920,217
,500.0,,,0.0,,,4441,,966000,1930,217
-3.7648568153381348,500.0,69264,0.00075,0.0,0.0002542450383771211,-1.2765063047409058,4475,0.0014101348351687193,973000,1940,217
10.812847137451172,500.0,69764,0.00075,0.0,0.00024541589664295316,-1.254047155380249,4508,0.0008795646717771888,980000,1950,217
,500.0,,,0.0,,,4508,,980000,1960,217
9.420160293579102,500.0,70264,0.00075,0.0,0.00027117333956994116,-1.3140144348144531,4541,0.0013970021391287446,987000,1970,217
-4.700933456420898,500.0,70764,0.00075,0.0,0.0002889632887672633,-1.204163908958435,4575,0.0081170704215765,994000,1980,217
