train/n_updates,train/ent_coef,train/critic_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
63264,0.000236677034990862,0.0009303630795329809,209,1770,0.0,4234,-1.6062923669815063,-11.98989486694336,889000,0.00075,500.0
63764,0.0002872197364922613,0.0006345241563394666,209,1780,0.0,4268,-1.5847870111465454,-9.043604850769043,896000,0.00075,500.0
,,,209,1790,0.0,4268,,,896000,,500.0
64264,0.00023598513507749885,0.0007502809166908264,209,1800,0.0,4301,-1.4954530000686646,-6.3635053634643555,903000,0.00075,500.0
64764,0.00022439182794187218,0.00046989027759991586,209,1810,0.0,4335,-1.5473387241363525,-0.5444502830505371,910000,0.00075,500.0
,,,209,1820,0.0,4335,,,910000,,500.0
65264,0.0002086871536448598,0.017254378646612167,209,1830,0.0,4369,-1.519407033920288,-0.8091230392456055,917000,0.00075,500.0
65764,0.0002271116100018844,0.0006072146352380514,209,1840,0.0,4403,-1.4608066082000732,-1.1685748100280762,924000,0.00075,500.0
66264,0.00023351913841906935,0.011803421191871166,209,1850,0.0,4437,-1.47724449634552,3.531099319458008,931000,0.00075,500.0
,,,209,1860,0.0,4437,,,931000,,500.0
66764,0.00024849805049598217,0.014130286872386932,209,1870,0.0,4472,-1.478072166442871,0.7813091278076172,938000,0.00075,500.0
67264,0.0002587117487564683,0.0005725808441638947,209,1880,0.0,4506,-1.3300912380218506,-4.209632873535156,945000,0.00075,500.0
,,,209,1890,0.0,4506,,,945000,,500.0
67764,0.00024563365150243044,0.009516502730548382,209,1900,0.0,4540,-1.4097931385040283,-9.494405746459961,952000,0.00075,500.0
68264,0.0002592313685454428,0.01633603125810623,209,1910,0.0,4574,-1.4164361953735352,-0.8205134868621826,959000,0.00075,500.0
68764,0.00028156128246337175,0.00824410654604435,209,1920,0.0,4608,-1.3718990087509155,0.7710778713226318,966000,0.00075,500.0
,,,209,1930,0.0,4608,,,966000,,500.0
69264,0.0003035222180187702,0.0008202178287319839,209,1940,0.0,4641,-1.3819481134414673,-0.33251047134399414,973000,0.00075,500.0
69764,0.0002965205640066415,0.0008963760919868946,209,1950,0.0,4676,-1.3281601667404175,-11.322046279907227,980000,0.00075,500.0
,,,209,1960,0.0,4676,,,980000,,500.0
70264,0.00029499773518182337,0.00205390271730721,209,1970,0.0,4709,-1.3433774709701538,-13.292963981628418,987000,0.00075,500.0
70764,0.0002719437761697918,0.0007045614183880389,209,1980,0.0,4741,-1.2757892608642578,-10.081195831298828,994000,0.00075,500.0
